rating,claim,imagery,treatment
0,Concrete,Visual,ConcreteVisual
5,Concrete,Visual,ConcreteVisual
4,Concrete,Visual,ConcreteVisual
3,Concrete,Visual,ConcreteVisual
6,Concrete,Visual,ConcreteVisual
8,Concrete,Visual,ConcreteVisual
5,Concrete,Visual,ConcreteVisual
6,Concrete,Visual,ConcreteVisual
5,Concrete,Visual,ConcreteVisual
8,Concrete,Visual,ConcreteVisual
5,Concrete,Visual,ConcreteVisual
4,Concrete,Visual,ConcreteVisual
5,Concrete,Visual,ConcreteVisual
8,Concrete,Visual,ConcreteVisual
5,Concrete,Visual,ConcreteVisual
6,Concrete,Visual,ConcreteVisual
6,Concrete,Visual,ConcreteVisual
7,Concrete,Visual,ConcreteVisual
6,Concrete,Visual,ConcreteVisual
6,Concrete,Visual,ConcreteVisual
10,Concrete,Visual,ConcreteVisual
4,Concrete,Visual,ConcreteVisual
1,Concrete,Verbal,ConcreteVerbal
5,Concrete,Verbal,ConcreteVerbal
4,Concrete,Verbal,ConcreteVerbal
2,Concrete,Verbal,ConcreteVerbal
4,Concrete,Verbal,ConcreteVerbal
3,Concrete,Verbal,ConcreteVerbal
4,Concrete,Verbal,ConcreteVerbal
1,Concrete,Verbal,ConcreteVerbal
3,Concrete,Verbal,ConcreteVerbal
3,Concrete,Verbal,ConcreteVerbal
1,Concrete,Verbal,ConcreteVerbal
4,Concrete,Verbal,ConcreteVerbal
3,Concrete,Verbal,ConcreteVerbal
2,Concrete,Verbal,ConcreteVerbal
3,Concrete,Verbal,ConcreteVerbal
2,Concrete,Verbal,ConcreteVerbal
3,Concrete,Verbal,ConcreteVerbal
2,Concrete,Verbal,ConcreteVerbal
4,Concrete,Verbal,ConcreteVerbal
6,Concrete,Verbal,ConcreteVerbal
4,Concrete,Verbal,ConcreteVerbal
1,Concrete,Verbal,ConcreteVerbal
-1,Abstract,Visual,AbstractVisual
2,Abstract,Visual,AbstractVisual
3,Abstract,Visual,AbstractVisual
1,Abstract,Visual,AbstractVisual
4,Abstract,Visual,AbstractVisual
6,Abstract,Visual,AbstractVisual
1,Abstract,Visual,AbstractVisual
3,Abstract,Visual,AbstractVisual
4,Abstract,Visual,AbstractVisual
5,Abstract,Visual,AbstractVisual
4,Abstract,Visual,AbstractVisual
4,Abstract,Visual,AbstractVisual
2,Abstract,Visual,AbstractVisual
3,Abstract,Visual,AbstractVisual
2,Abstract,Visual,AbstractVisual
4,Abstract,Visual,AbstractVisual
2,Abstract,Visual,AbstractVisual
2,Abstract,Visual,AbstractVisual
4,Abstract,Visual,AbstractVisual
1,Abstract,Visual,AbstractVisual
5,Abstract,Visual,AbstractVisual
3,Abstract,Visual,AbstractVisual
3,Abstract,Verbal,AbstractVerbal
4,Abstract,Verbal,AbstractVerbal
4,Abstract,Verbal,AbstractVerbal
4,Abstract,Verbal,AbstractVerbal
2,Abstract,Verbal,AbstractVerbal
0,Abstract,Verbal,AbstractVerbal
3,Abstract,Verbal,AbstractVerbal
-1,Abstract,Verbal,AbstractVerbal
2,Abstract,Verbal,AbstractVerbal
1,Abstract,Verbal,AbstractVerbal
2,Abstract,Verbal,AbstractVerbal
6,Abstract,Verbal,AbstractVerbal
2,Abstract,Verbal,AbstractVerbal
2,Abstract,Verbal,AbstractVerbal
4,Abstract,Verbal,AbstractVerbal
1,Abstract,Verbal,AbstractVerbal
5,Abstract,Verbal,AbstractVerbal
-2,Abstract,Verbal,AbstractVerbal
5,Abstract,Verbal,AbstractVerbal
2,Abstract,Verbal,AbstractVerbal
6,Abstract,Verbal,AbstractVerbal
3,Abstract,Verbal,AbstractVerbal
